,Incident Summary,State,Open Date
0,HSCN - Internet Outage,Resolved,06-Nov-2023 10:37
1,HSCN - Internet Outage raised by ISP,Resolved,06-Nov-2023 09:54
2,HSCN - Internet Outage raised by ISP,Resolved,06-Nov-2023 09:29
3,HSCN - Internet Outage,Resolved,06-Nov-2023 09:04
4,HSCN - Internet Outage,Resolved,06-Nov-2023 08:42
5,HSCN - Internet Outage raised by ISP,Resolved,06-Nov-2023 08:34
6,HSCN - Slow / Degraded Performance,Closed,04-Nov-2023 11:10
7,HSCN - Internet Outage,Closed,03-Nov-2023 16:29
8,HSCN - Internet Outage raised by ISP,Closed,03-Nov-2023 10:18
9,HSCN - Internet Outage raised by ISP,Closed,03-Nov-2023 09:48
10,HSCN - Internet Outage raised by ISP,Closed,03-Nov-2023 09:47
11,HSCN - Intermittent Outage,On Hold,02-Nov-2023 18:00
12,HSCN - Internet Outage,Closed,02-Nov-2023 17:10
13,HSCN - Internet Outage,On Hold,02-Nov-2023 16:14
14,HSCN - Intermittent Outage,Closed,02-Nov-2023 15:13
15,HSCN - Slow / Degraded Performance,Closed,02-Nov-2023 15:05
16,HSCN - Slow / Degraded Performance,On Hold,02-Nov-2023 14:48
17,HSCN - Slow / Degraded Performance,Closed,02-Nov-2023 13:35
18,HSCN - Slow / Degraded Performance,Closed,02-Nov-2023 11:38
19,HSCN - Slow / Degraded Performance,On Hold,02-Nov-2023 10:47
20,HSCN - Internet Outage raised by ISP,Closed,02-Nov-2023 10:08
21,HSCN - Slow / Degraded Performance,Resolved,02-Nov-2023 10:05
22,HSCN - Slow / Degraded Performance,Closed,02-Nov-2023 09:43
23,HSCN - Slow / Degraded Performance,On Hold,01-Nov-2023 16:17
24,HSCN - Slow / Degraded Performance,Open,01-Nov-2023 14:49
25,HSCN - Intermittent Outage,Open,01-Nov-2023 13:36
26,HSCN - Slow / Degraded Performance,Open,01-Nov-2023 13:08
27,HSCN - Slow / Degraded Performance,Closed,01-Nov-2023 12:33
28,HSCN - Slow / Degraded Performance,Closed,01-Nov-2023 11:43
29,HSCN - Intermittent Outage,On Hold,01-Nov-2023 11:39
30,HSCN - Internet Outage,Closed,01-Nov-2023 10:10
31,HSCN - Intermittent Outage 6678520,Closed,01-Nov-2023 09:48
32,HSCN - Internet Outage,Closed,31-Oct-2023 18:09
33,HSCN - Internet Outage,Closed,31-Oct-2023 17:10
34,HSCN - Internet Outage raised by ISP,Closed,31-Oct-2023 13:16
35,HSCN - Slow / Degraded Performance,Closed,31-Oct-2023 12:46
36,HSCN - Intermittent Outage raised by ISP,On Hold,31-Oct-2023 11:25
37,HSCN - Internet Outage,Closed,31-Oct-2023 10:46
38,HSCN - Internet Outage,On Hold,31-Oct-2023 10:04
39,HSCN - Internet Outage,Closed,30-Oct-2023 15:46
40,HSCN - Internet Outage,Closed,30-Oct-2023 14:47
41,HSCN - Internet Outage,Closed,30-Oct-2023 14:46
42,HSCN - Internet Outage,Closed,30-Oct-2023 13:53
43,HSCN - Internet Outage,Closed,30-Oct-2023 13:48
44,HSCN - Internet Outage,Closed,30-Oct-2023 13:44
45,HSCN - Internet Outage,Closed,30-Oct-2023 13:42
46,HSCN - Internet Outage,Closed,30-Oct-2023 13:36
47,HSCN - Internet Outage,Closed,30-Oct-2023 13:35
48,HSCN - Internet Outage,Closed,30-Oct-2023 13:19
49,HSCN - Internet Outage,Closed,30-Oct-2023 13:16
50,HSCN - Slow / Degraded Performance,Closed,30-Oct-2023 11:56
51,HSCN - Intermittent Outage raised by ISP,Closed,30-Oct-2023 09:59
52,HSCN - Internet Outage,Closed,30-Oct-2023 09:56
53,HSCN - Intermittent Outage,Closed,30-Oct-2023 08:58
54,HSCN - Intermittent Outage raised by ISP,Closed,30-Oct-2023 08:08
55,HSCN - Internet Outage raised by ISP,Closed,30-Oct-2023 08:06
56,HSCN - Internet Outage raised by ISP,Closed,30-Oct-2023 08:04
57,HSCN - Internet Outage,Closed,27-Oct-2023 16:00
58,HSCN - Intermittent Outage raised by ISP,Closed,27-Oct-2023 11:28
59,HSCN - Internet Outage raised by ISP,Open,27-Oct-2023 11:24
60,HSCN - Internet Outage,Closed,27-Oct-2023 08:16
61,HSCN - Internet Outage raised by ISP,Closed,26-Oct-2023 10:30
62,HSCN - Intermittent Outage raised by ISP,Closed,26-Oct-2023 10:29
63,HSCN - Internet Outage raised by ISP,Closed,26-Oct-2023 10:28
64,HSCN - Internet Outage,Closed,26-Oct-2023 09:33
65,HSCN - Internet Outage,Closed,26-Oct-2023 09:12
66,HSCN - Slow / Degraded Performance,Closed,25-Oct-2023 15:57
